93FC,03F5,54EF,2BEB
93FD,03F4,08E3,DA5B
93FE,03F7,7ECF,4DCB
93FF,03F6,1F01,72CB
9400,0409,F049,F2E7
9401,0408,4285,123A
9402,040B,4A85,62B7
9403,040A,FA49,42C7
9404,040D,F275,A227
9405,040C,4E85,626A
9406,040F,FA75,E257
9407,040E,FE49,32DA
9408,0401,FE75,42AA
9409,0400,F249,3207
940A,0403,4229,0247
940B,0402,4029,A28A
940C,0405,4085,E29A
940D,0404,4A29,F2FA
940E,0407,F075,1217
940F,0406,4E29,027A
9410,0419,F905,1C14
9411,0418,9EB5,22E4
9412,041B,DAB6,AC24
9413,041A,1906,EC54
9414,041D,2E05,63B4
9415,041C,DEB6,8E24
9416,041F,BA06,43C4
9417,041E,1C06,CE44
9418,0411,BE06,DE54
9419,0410,FC05,0C44
941A,0413,4CB5,3304
941B,0412,49B5,72B4
941C,0415,9AB5,92C4
941D,0414,E9B6,BE14
941E,0417,2A05,F3E4
941F,0416,ECB6,5204
9420,0429,402D,42CC
9421,0428,F77F,E291
9422,042B,F57F,370C
9423,042A,4A2D,F7EC
9424,042D,428F,074C
9425,042C,F47F,37D1
9426,042F,4A8F,171C
9427,042E,4E2D,6261
9428,0421,4E8F,F7F1
9429,0420,422D,62BC
942A,0423,F74D,A22C
942B,0422,FB4D,0771
942C,0425,FB7F,1731
942D,0424,F54D,42A1
942E,0427,408F,E25C
942F,0426,F44D,A281
9430,0439,39E4,0945
9431,0438,9AC5,5005
9432,043B,8ACA,EC55
9433,043A,09EA,A925
9434,043D,2AE5,43C5
9435,043C,DAC6,DE55
9436,043F,CAEA,6DB5
9437,043E,19E6,BE15
9438,0431,BAE6,8A25
9439,0430,F9E5,1C15
943A,0433,49C5,F3E5
943B,0432,69C4,92C5
943C,0435,7AC4,70B5
943D,0434,A9CA,CA45
943E,0437,5AE4,3D05
943F,0436,E9C6,22E5
9440,0449,6AC8,AA2D
9441,0448,F5FF,606F
9442,044B,05F1,141D
9443,044A,AACC,054D
9444,044D,4AAF,F7ED
9445,044C,15F3,143F
9446,044F,AAA1,3B0D
9447,044E,EAC2,EE9F
9448,0441,EAA3,057F
9449,0440,4ACD,EE5D
944A,0443,F5ED,42CD
944B,0442,35E8,F7FF
944C,0445,35FB,3BDF
944D,0444,05EC,AA8F
944E,0447,6AAB,60BD
944F,0446,15E2,42AF
9450,0459,6D5B,6DB3
9451,0458,2B1F,8023
9452,045B,551B,F1E3
9453,045A,695B,3603
9454,045D,905F,1113
9455,045C,251F,27E3
9456,045F,7A5B,0643
9457,045E,495F,92C3
9458,0451,9A5F,5B03
9459,0450,4D5F,43C3
945A,0453,F61F,E353
945B,0452,361B,B713
945C,0455,5B1B,CB43
945D,0454,3F1B,70B3
945E,0457,705B,AD23
945F,0456,FF1F,D253
9460,0469,3D14,3D06
9461,0468,9055,C046
9462,046B,7A54,43C6
9463,046A,3914,6DB6
9464,046D,2015,E356
9465,046C,9A55,92C6
9466,046F,5A14,AD26
9467,046E,F915,22E6
9468,0461,2A15,70B6
9469,0460,FD15,F3E6
946A,0463,4D55,1316
946B,0462,6D54,D256
946C,0465,7054,8026
946D,0464,6954,5006
946E,0467,5014,0D46
946F,0466,4955,B216
9470,0479,FD45,F3EA
9471,0478,9225,B21A
9472,047B,9A25,63BA
9473,047A,F945,43CA
9474,047D,2245,A32A
9475,047C,9E25,72BA
9476,047F,2A45,E35A
9477,047E,FC45,520A
9478,0471,2E45,92CA
9479,0470,F345,330A
947A,0473,4325,034A
947B,0472,4D25,822A
947C,0475,9025,D25A
947D,0474,4925,22EA
947E,0477,2045,131A
947F,0476,4C25,C24A
9480,0489,6058,60B2
9481,0488,FB3F,A083
9482,048B,353B,F7E2
9483,048A,6A58,3B02
9484,048D,409F,1712
9485,048C,F53F,F7F3
9486,048F,6A9B,0B42
9487,048E,4A5D,42A3
9488,0481,4A9F,3BD3
9489,0480,405D,42C2
948A,0483,FB1D,E252
948B,0482,3B18,1733
948C,0485,3B3B,0B73
948D,0484,3518,6063
948E,0487,609B,A022
948F,0486,F51D,E293
9490,0499,3AEE,0A49
9491,0498,4AA5,30D5
9492,049B,AAAA,EE59
9493,049A,0AE7,AA29
9494,049D,FAF5,42C9
9495,049C,EAA6,EE95
9496,049F,0AFA,60B9
9497,049E,1AE0,1E35
9498,0491,1AF6,AA85
9499,0490,FAE9,1E19
949A,0493,4AC9,F2E9
949B,0492,6ACE,42A5
949C,0495,6AA4,6065
949D,0494,AAC7,0A75
949E,0497,3AF4,3009
949F,0496,EAC0,F2F5
94A0,04A9,4ABD,EE58
94A1,04A8,F4DF,42AB
94A2,04AB,15D3,0448
94A3,04AA,EAB2,1418
94A4,04AD,4E6F,3708
94A5,04AC,14D3,047B
94A6,04AF,EA63,F7E8
94A7,04AE,EEB2,AE8B
94A8,04A1,EE63,143B
94A9,04A0,4EBD,AE28
94AA,04A3,F40D,62B8
94AB,04A2,F50D,37DB
94AC,04A5,F5DF,F7FB
94AD,04A4,1502,EE9B
94AE,04A7,4A6F,42C8
94AF,04A6,1402,626B
94B0,04B9,69CB,A92F
94B1,04B8,25EF,70BF
94B2,04BB,C5E1,181F
94B3,04BA,A9C1,0F4F
94B4,04BD,9ACF,F1EF
94B5,04BC,B5E3,B41F
94B6,04BF,8AC1,360F
94B7,04BE,E9C3,DE5F
94B8,04B1,DAC3,C54F
94B9,04B0,49CF,EC5F
94BA,04B3,FFEF,43CF
94BB,04B2,3FEB,27EF
94BC,04B5,55EB,5B0F
94BD,04B4,0FE1,8A2F
94BE,04B7,7ACB,6DBF
94BF,04B6,1FE3,92CF
94C0,04C9,4D2F,43C1
94C1,04C8,274F,D251
94C2,04CB,254F,3101
94C3,04CA,492F,F1E1
94C4,04CD,922F,0141
94C5,04CC,244F,5701
94C6,04CF,9A2F,1111
94C7,04CE,4C2F,72B1
94C8,04C1,9E2F,27E1
94C9,04C0,432F,63B1
94CA,04C3,F14F,A321
94CB,04C2,F64F,C741
94CC,04C5,2B4F,B711
94CD,04C4,FF4F,92C1
94CE,04C7,902F,E351
94CF,04C6,F84F,8221
94D0,04D9,301E,3000
94D1,04D8,4095,0076
94D2,04DB,6A94,42C0
94D3,04DA,3A1E,60B0
94D4,04DD,F035,E250
94D5,04DC,4A95,42A6
94D6,04DF,3A34,A020
94D7,04DE,FA19,F2F6
94D8,04D1,FA35,6066
94D9,04D0,F019,F2E0
94DA,04D3,4059,1210
94DB,04D2,605E,E296
94DC,04D5,6094,A086
94DD,04D4,6A5E,30D6
94DE,04D7,3034,0040
94DF,04D6,4A59,1236
94E0,04E9,FA09,1E1E
94E1,04E8,4E65,F2F4
94E2,04EB,EA66,AE2E
94E3,04EA,1A00,EE5E
94E4,04ED,FED5,62BE
94E5,04EC,EE66,AE84
94E6,04EF,1AD6,42CE
94E7,04EE,1E00,0E74
94E8,04E1,1ED6,EE94
94E9,04E0,FE09,0E4E
94EA,04E3,4EB9,320E
94EB,04E2,4AB9,6264
94EC,04E5,4A65,42A4
94ED,04E4,EAB0,1E34
94EE,04E7,FAD5,F2EE
94EF,04E6,EEB0,32D4
94F0,04F9,49BF,EC5B
94F1,04F8,240F,92CB
94F2,04FB,B503,084B
94F3,04FA,E9B3,181B
94F4,04FD,9EBF,310B
94F5,04FC,B403,C44B
94F6,04FF,DAB3,F1EB
94F7,04FE,ECB3,8E2B
94F8,04F1,DEB3,B41B
94F9,04F0,4CBF,AC2B
94FA,04F3,F80F,63BB
94FB,04F2,FF0F,570B
94FC,04F5,250F,27EB
94FD,04F4,1F03,DE5B
94FE,04F7,9ABF,43CB
94FF,04F6,1803,72BB
9500,0509,FA20,FEC7
9501,0508,4486,12AA
9502,050B,EB65,64B7
9503,050A,10B9,44C7
9504,050D,FE86,A7B7
9505,050C,E765,646A
9506,050F,1065,E7C7
9507,050E,12B9,3E6A
9508,0501,1265,44AA
9509,0500,FE20,3EB7
950A,0503,4420,02B7
950B,0502,4520,A76A
950C,0505,4586,E7AA
950D,0504,EBB9,FEAA
950E,0507,FA86,12C7
950F,0506,E7B9,026A
9510,0519,FD26,1C5A
9511,0518,9726,BEC4
9512,051B,DB25,A82A
9513,051A,1D25,E85A
9514,051D,2226,A8B4
9515,051C,D725,842A
9516,051F,B025,E8C4
9517,051E,1325,CE2A
9518,0511,B225,D45A
9519,0510,F326,0C2A
951A,0513,4126,0CB4
951B,0512,4626,84B4
951C,0515,9B26,D4C4
951D,0514,E625,BE5A
951E,0517,2026,1CC4
951F,0516,E125,CEB4
9520,0529,F522,F4CC
9521,0528,F476,17A1
9522,052B,1BD5,3407
9523,052A,1BBD,F4E7
9524,052D,F483,0707
9525,052C,17D5,34DA
9526,052F,1B6F,17E7
9527,052E,17BD,3461
9528,0521,176F,F4FA
9529,0520,F422,34BC
952A,0523,F440,07BC
952B,0522,F540,07DA
952C,0525,F576,17FA
952D,0524,1B09,F4A1
952E,0527,F583,17CC
952F,0526,1709,0761
9530,0539,3D5A,0926
9531,0538,9B56,CAB5
9532,053B,8B54,E856
9533,053A,0D54,AF26
9534,053D,2056,E8C5
9535,053C,DB55,D456
9536,053F,C054,AFB5
9537,053E,1D55,BE56
9538,0531,B055,8526
9539,0530,FD56,1C56
953A,0533,4656,1CC5
953B,0532,665A,D4C5
953C,0535,7B5A,85B5
953D,0534,A654,CA26
953E,0537,505A,09B5
953F,0536,E655,BEC5
9540,0549,3B5C,0522
9541,0548,FB36,056F
9542,054B,0B34,1410
9543,054A,0B58,0540
9544,054D,FB93,14E9
9545,054C,1B35,1436
9546,054F,0B9B,0509
9547,054E,1B5D,1493
9548,0541,1B9F,0576
9549,0540,FB52,1452
954A,0543,FB10,14CD
954B,0542,3B17,14F5
954C,0545,3B3A,05D5
954D,0544,0B1E,0583
954E,0547,3B91,05BD
954F,0546,1B19,14AF
9550,0559,3F51,3FB3
9551,0558,2516,CBB3
9552,055B,CBE4,F8E6
9553,055A,06CB,3F06
9554,055D,2553,11E6
9555,055C,BBE5,24E6
9556,055F,CBCB,0606
9557,055E,16CF,24C3
9558,0551,BBCF,5506
9559,0550,FF53,F8C3
955A,0553,FF16,11C3
955B,0552,3F1A,B7E6
955C,0555,551A,CB06
955D,0554,06E4,55B3
955E,0557,5551,06B3
955F,0556,16E5,B7C3
9560,0569,395A,39B6
9561,0568,9556,C0B6
9562,056B,8BC4,48C6
9563,056A,0DC4,6FB6
9564,056D,2A56,E1C6
9565,056C,DBC5,94C6
9566,056F,C0C4,A6B6
9567,056E,1DC5,2EC6
9568,0561,B0C5,75B6
9569,0560,F956,FCC6
956A,0563,4F56,13C6
956B,0562,6F5A,D7C6
956C,0565,755A,8BB6
956D,0564,A6C4,5AB6
956E,0567,5A5A,0DB6
956F,0566,E6C5,B2C6
9570,0579,F926,FCCA
9571,0578,9426,B2CA
9572,057B,DBB5,68BA
9573,057A,1DB5,48CA
9574,057D,2E26,A1BA
9575,057C,D7B5,74BA
9576,057F,B0B5,E1CA
9577,057E,13B5,5EBA
9578,0571,B2B5,94CA
9579,0570,FC26,3CBA
957A,0573,4826,03BA
957B,0572,4F26,87BA
957C,0575,9526,D7CA
957D,0574,E6B5,2ECA
957E,0577,2A26,13CA
957F,0576,E1B5,C2BA
9580,0589,355C,35B2
9581,0588,F536,0B63
9582,058B,0BF4,F4E0
9583,058A,0BC8,3500
9584,058D,F593,17E0
9585,058C,1BF5,F4F6
9586,058F,0BAB,0B00
9587,058E,1BCD,F4A3
9588,0581,1BAF,35D6
9589,0580,F552,F4C2
958A,0583,F510,17C2
958B,0582,3517,17F6
958C,0585,353A,0BD6
958D,0584,0BEE,3563
958E,0587,3591,0BB2
958F,0586,1BE9,17A3
9590,0599,3057,0A20
9591,0598,4B96,0A65
9592,059B,AB94,E450
9593,059A,005E,A520
9594,059D,F096,E4C9
9595,059C,EB95,E496
9596,059F,0094,A5B9
9597,059E,1059,1E96
9598,0591,1095,A586
9599,0590,F050,1E50
959A,0593,4B50,1EC9
959B,0592,6B57,E4A5
959C,0595,6B9A,A565
959D,0594,AB5E,0A86
959E,0597,309A,0AB9
959F,0596,EB59,1EA5
95A0,05A9,FB22,145C
95A1,05A8,F776,14AB
95A2,05AB,1B75,0447
95A3,05AA,1B2D,1417
95A4,05AD,F783,040E
95A5,05AC,1775,047A
95A6,05AF,1B8F,14EE
95A7,05AE,172D,0481
95A8,05A1,178F,143A
95A9,05A0,F722,042C
95AA,05A3,F740,04B8
95AB,05A2,FB40,04D4
95AC,05A5,FB76,14F4
95AD,05A4,1B49,1491
95AE,05A7,FB83,14C8
95AF,05A6,1749,046B
95B0,05B9,3651,0F23
95B1,05B8,2B16,C5BF
95B2,05BB,CB14,1816
95B3,05BA,065B,0F46
95B4,05BD,2B53,18E5
95B5,05BC,BB15,B416
95B6,05BF,CB5B,0F05
95B7,05BE,165F,B453
95B8,05B1,BB5F,C546
95B9,05B0,F653,1853
95BA,05B3,F616,18CF
95BB,05B2,361A,B4E5
95BC,05B5,5B1A,C505
95BD,05B4,0614,C523
95BE,05B7,5B51,0FBF
95BF,05B6,1615,B4CF
95C0,05C9,FF23,F8C1
95C1,05C8,2446,B7C1
95C2,05CB,BB05,380A
95C3,05CA,16BF,F8EA
95C4,05CD,2423,010A
95C5,05CC,B705,540A
95C6,05CF,BBBF,11EA
95C7,05CE,11BF,54B1
95C8,05C1,B7BF,24EA
95C9,05C0,F823,38B1
95CA,05C3,F846,01B1
95CB,05C2,FF46,C70A
95CC,05C5,2546,B7EA
95CD,05C4,1605,24C1
95CE,05C7,2523,11C1
95CF,05C6,1105,C7B1
95D0,05D9,3A57,3AB0
95D1,05D8,4596,0066
95D2,05DB,ABA4,44C0
95D3,05DA,00CE,65B0
95D4,05DD,FA96,E7C0
95D5,05DC,EBA5,44A6
95D6,05DF,00A4,ABB0
95D7,05DE,10C9,FEA6
95D8,05D1,10A5,6566
95D9,05D0,FA50,FEC0
95DA,05D3,4550,12C0
95DB,05D2,6557,E7A6
95DC,05D5,659A,AB66
95DD,05D4,ABCE,3A66
95DE,05D7,3A9A,00B0
95DF,05D6,EBC9,12A6
95E0,05E9,F020,1E57
95E1,05E8,4786,1EA4
95E2,05EB,EB85,A427
95E3,05EA,1029,E457
95E4,05ED,F286,A4BE
95E5,05EC,E785,A48A
95E6,05EF,1085,E4CE
95E7,05EE,1229,0E8A
95E8,05E1,1285,E49A
95E9,05E0,F220,0E27
95EA,05E3,4720,0EBE
95EB,05E2,4B20,A464
95EC,05E5,4B86,E4A4
95ED,05E4,EB29,1E9A
95EE,05E7,F086,1ECE
95EF,05E6,E729,0E64
95F0,05F9,F623,1851
95F1,05F8,2746,B4CB
95F2,05FB,BB45,084A
95F3,05FA,162F,181A
95F4,05FD,2723,0804
95F5,05FC,B745,C44A
95F6,05FF,BB2F,18E4
95F7,05FE,112F,C421
95F8,05F1,B72F,B41A
95F9,05F0,F123,0821
95FA,05F3,F146,08BB
95FB,05F2,F646,C404
95FC,05F5,2B46,B4E4
95FD,05F4,1645,B451
95FE,05F7,2B23,18CB
95FF,05F6,1145,C4BB
9600,0609,2D29,23C7
9601,0608,4789,1297
9602,060B,4589,71B7
9603,060A,2929,91C7
9604,060D,F289,8127
9605,060C,4489,6767
9606,060F,FA89,D157
9607,060E,2C29,3267
9608,0601,FE89,47A7
9609,0600,2329,53B7
960A,0603,9129,C327
960B,0602,9629,A787
960C,0605,4B89,E797
960D,0604,9F29,F2A7
960E,0607,F089,B357
960F,0606,9829,0287
9610,0619,F965,1C94
9611,0618,98B5,23C4
9612,061B,DFB6,A884
9613,061A,1966,E894
9614,061D,2CB5,6164
9615,061C,D8B6,8824
9616,061F,B9B6,41A4
9617,061E,1C66,CC24
9618,0611,BCB6,D854
9619,0610,FC65,0C84
961A,0613,4865,3364
961B,0612,4F65,71B4
961C,0615,9FB5,91C4
961D,0614,EF66,BC54
961E,0617,29B5,F3A4
961F,0616,E866,53B4
9620,0629,262D,21CC
9621,0628,F779,179C
9622,062B,F579,5107
9623,062A,2F2D,21E7
9624,062D,F78D,C147
9625,062C,F479,37D7
9626,062F,F58D,B117
9627,062E,282D,376C
9628,0621,F48D,F7F7
9629,0620,212D,51BC
962A,0623,2149,C12C
962B,0622,2649,0777
962C,0625,FB79,1737
962D,0624,2F49,F7AC
962E,0627,FB8D,B15C
962F,0626,2849,078C
9630,0639,39A4,0985
9631,0638,9FC5,5DB5
9632,063B,8FCA,E895
9633,063A,09AA,AF85
9634,063D,29C5,41A5
9635,063C,DFC6,D855
9636,063F,C9CA,6665
9637,063E,19A6,BC55
9638,0631,B9C6,8F25
9639,0630,F9A5,1C95
963A,0633,4FA5,F3A5
963B,0632,6FA4,91C5
963C,0635,7FC4,76B5
963D,0634,AFAA,C925
963E,0637,59C4,3D65
963F,0636,EFA6,23C5
9640,0649,5FC8,CF2D
9641,0648,F5F9,3B6D
9642,064B,05F7,B819
9643,064A,CFCC,CF49
9644,064D,F5AD,21E9
9645,064C,15F0,1439
9646,064F,05AC,5609
9647,064E,BFC2,149D
9648,0641,15A2,0579
9649,0640,2FCD,B85D
964A,0643,2FE9,21CD
964B,0642,5FEE,F7F9
964C,0645,35FE,3BD9
964D,0644,CFE7,058D
964E,0647,35A8,56BD
964F,0646,BFE0,F7AD
9650,0659,369B,3663
9651,0658,2615,C623
9652,065B,5F14,F1F6
9653,065A,3F9B,36D6
9654,065D,265F,1136
9655,065C,2F15,21E6
9656,065F,5F5B,0676
9657,065E,FF9F,21C3
9658,0651,2F5F,5606
9659,0650,F69F,F1A3
965A,0653,F635,1193
965B,0652,3634,B116
965C,0655,5614,C646
965D,0654,3F34,56B3
965E,0657,565B,0683
965F,0656,FF35,B153
9660,0669,3D94,3D66
9661,0668,9655,CD26
9662,066B,7F54,41A6
9663,066A,3994,6666
9664,066D,2D55,E196
9665,066C,9F55,91C6
9666,066F,5954,A686
9667,066E,F995,23C6
9668,0661,2955,76B6
9669,0660,FD95,F3A6
966A,0663,4695,1396
966B,0662,6694,D156
966C,0665,7654,8626
966D,0664,6F94,5DB6
966E,0667,5D54,0D86
966F,0666,4F95,B356
9670,0679,FD85,F3AA
9671,0678,9125,B35A
9672,067B,9F25,616A
9673,067A,F985,41AA
9674,067D,2325,A18A
9675,067C,9825,71BA
9676,067F,2925,E19A
9677,067E,FC85,53BA
9678,0671,2C25,91CA
9679,0670,F385,336A
967A,0673,4185,038A
967B,0672,4685,812A
967C,0675,9625,D15A
967D,0674,4F85,23CA
967E,0677,2D25,139A
967F,0676,4885,C32A
9680,0689,5658,56B2
9681,0688,FB39,0B82
9682,068B,353E,21E0
9683,068A,5F58,5600
9684,068D,FB9D,B110
9685,068C,F539,F7F0
9686,068F,3598,C640
9687,068E,2F5D,F7A2
9688,0681,F59D,3BD0
9689,0680,265D,21C2
968A,0683,2619,B152
968B,0682,561E,1730
968C,0685,3B3E,0B70
968D,0684,5F1E,3B62
968E,0687,3B98,C622
968F,0686,2F19,1792
9690,0699,59CE,C929
9691,0698,45A9,3069
9692,069B,A5A7,D859
9693,069A,C9C7,8F29
9694,069D,FAA9,91C9
9695,069C,E5A0,E499
9696,069F,0AA7,76B9
9697,069E,B9C0,1E99
9698,0691,1AA0,A589
9699,0690,29C9,BC59
969A,0693,9FC9,23C9
969B,0692,7FCE,47A9
969C,0695,65AE,6B69
969D,0694,8FC7,0A89
969E,0697,3AAE,5DB9
969F,0696,DFC0,F2A9
96A0,06A9,2FBD,B858
96A1,06A8,F4D9,F7A8
96A2,06AB,15D0,C84E
96A3,06AA,BFB2,B81E
96A4,06AD,F46D,510E
96A5,06AC,14D0,047E
96A6,06AF,1562,21EE
96A7,06AE,B8B2,0488
96A8,06A1,1462,143E
96A9,06A0,28BD,C828
96AA,06A3,2809,51B8
96AB,06A2,2F09,37DE
96AC,06A5,F5D9,F7FE
96AD,06A4,BF00,1498
96AE,06A7,F56D,21C8
96AF,06A6,B800,3768
96B0,06B9,3FAB,0F8F
96B1,06B8,2FE5,56BF
96B2,06BB,CFEA,1835
96B3,06BA,0FA1,0F75
96B4,06BD,2FCF,F1F5
96B5,06BC,BFE6,B815
96B6,06BF,CFC1,36D5
96B7,06BE,1FA3,B85F
96B8,06B1,BFC3,CF45
96B9,06B0,FFAF,189F
96BA,06B3,FFF5,F1AF
96BB,06B2,3FF4,21E5
96BC,06B5,5FE4,5605
96BD,06B4,0FFA,CF2F
96BE,06B7,5FCB,366F
96BF,06B6,1FF6,21CF
96C0,06C9,F68F,F1A1
96C1,06C8,2145,B151
96C2,06CB,2F45,31DA
96C3,06CA,FF8F,F1FA
96C4,06CD,212F,017A
96C5,06CC,2845,510A
96C6,06CF,2F2F,113A
96C7,06CE,F88F,51B1
96C8,06C1,282F,21EA
96C9,06C0,F18F,3161
96CA,06C3,F175,0181
96CB,06C2,F675,C14A
96CC,06C5,2645,B11A
96CD,06C4,FF75,21C1
96CE,06C7,262F,1191
96CF,06C6,F875,C121
96D0,06D9,5D5E,5DB0
96D1,06D8,4B99,0080
96D2,06DB,659E,91C0
96D3,06DA,595E,76B0
96D4,06DD,F099,D150
96D5,06DC,4599,47A0
96D6,06DF,3A9E,8620
96D7,06DE,2959,F2A0
96D8,06D1,FA99,6B60
96D9,06D0,2D59,23C0
96DA,06D3,9659,B350
96DB,06D2,765E,E790
96DC,06D5,6B9E,AB80
96DD,06D4,7F5E,3060
96DE,06D7,309E,CD20
96DF,06D6,9F59,1290
96E0,06E9,29B9,BC5E
96E1,06E8,4469,F2AE
96E2,06EB,E560,882E
96E3,06EA,B9B0,D85E
96E4,06ED,FE69,71BE
96E5,06EC,E460,A48E
96E6,06EF,1A60,91CE
96E7,06EE,BCB0,0E8E
96E8,06E1,1E60,E49E
96E9,06E0,2CB9,CC2E
96EA,06E3,98B9,53BE
96EB,06E2,9FB9,676E
96EC,06E5,4569,47AE
96ED,06E4,DFB0,1E9E
96EE,06E7,FA69,23CE
96EF,06E6,D8B0,326E
96F0,06F9,FF6F,189B
96F1,06F8,2805,21CB
96F2,06FB,BF06,0874
96F3,06FA,1F63,1834
96F4,06FD,28BF,31D4
96F5,06FC,B806,C844
96F6,06FF,BFB3,F1F4
96F7,06FE,1863,C82B
96F8,06F1,B8B3,B814
96F9,06F0,F86F,088B
96FA,06F3,F8D5,316B
96FB,06F2,FFD5,5104
96FC,06F5,2F05,21E4
96FD,06F4,1FD6,B85B
96FE,06F7,2FBF,F1AB
96FF,06F6,18D6,51BB
9700,0709,3259,F0C7
9701,0708,4B84,109A
9702,070B,6495,67C7
9703,070A,3E59,4BC7
9704,070D,F084,A757
9705,070C,4584,67AA
9706,070F,3E95,EB57
9707,070E,FA2E,32AA
9708,0701,FA84,4BAA
9709,0700,F02E,32C7
970A,0703,4B2E,0257
970B,0702,6759,A79A
970C,0705,6795,EB9A
970D,0704,6459,F0AA
970E,0707,3295,1057
970F,0706,452E,029A
9710,0719,3CC5,1954
9711,0718,95B4,20C4
9712,071B,84C6,A854
9713,071A,0CC6,EF54
9714,071D,2AB4,61C4
9715,071C,D5BA,8454
9716,071F,CEC6,46C4
9717,071E,19BA,CE54
9718,0711,BABA,D554
9719,0710,F9B4,0C54
971A,0713,4FB4,33C4
971B,0712,68C5,77C4
971C,0715,74C5,9BC4
971D,0714,A8C6,BA54
971E,0717,5EC5,FDC4
971F,0716,EFBA,52C4
9720,0729,375D,FBCC
9721,0728,FB74,1B91
9722,072B,3435,37E7
9723,072A,345D,FBE7
9724,072D,FB8B,0717
9725,072C,F574,37FA
9726,072F,349F,1B17
9727,072E,F528,37A1
9728,0721,F58B,FBFA
9729,0720,FB28,37CC
972A,0723,FB4E,075C
972B,0722,3719,073A
972C,0725,3735,1B3A
972D,0724,3419,FBA1
972E,0727,379F,1B5C
972F,0726,F54E,0791
9730,0739,3CB5,0924
9731,0738,94B4,50B4
9732,073B,84B6,AF55
9733,073A,0CB6,AF24
9734,073D,2EB4,66C5
9735,073C,D4BA,8555
9736,073F,CEB6,66B4
9737,073E,1CBA,CA55
9738,0731,BEBA,8524
9739,0730,FCB4,0955
973A,0733,48B4,3DC5
973B,0732,68B5,7BC5
973C,0735,74B5,7BB4
973D,0734,A8B6,CA24
973E,0737,5EB5,3DB4
973F,0736,E8BA,50C5
9740,0749,34BD,0528
9741,0748,F4D4,3B6B
9742,074B,04D6,0519
9743,074A,04B2,054E
9744,074D,F46B,3BE9
9745,074C,14DA,0535
9746,074F,0463,3B0E
9747,074E,14BC,059F
9748,0741,1461,0574
9749,0740,F4B8,055D
974A,0743,F40E,3BCD
974B,0742,3409,3BF5
974C,0745,34D5,3BD4
974D,0744,0400,058B
974E,0747,346F,3BB8
974F,0746,1407,3BAF
9750,0759,312F,36B1
9751,0758,2744,CB21
9752,075B,5445,36E6
9753,075A,382F,360A
9754,075D,272B,0616
9755,075C,2444,5BE6
9756,075F,542F,064A
9757,075E,F82B,5BC3
9758,0751,242B,5B0A
9759,0750,F12B,36C3
975A,0753,F144,0653
975B,0752,3145,CB16
975C,0755,5745,CB4A
975D,0754,3845,5BB1
975E,0757,572F,0621
975F,0756,F844,CB53
9760,0769,3325,3DBA
9761,0768,9724,C02A
9762,076B,7425,66C6
9763,076A,3C25,66BA
9764,076D,2224,A656
9765,076C,9424,7BC6
9766,076F,5E25,A62A
9767,076E,FC24,50C6
9768,0761,2E24,7BBA
9769,0760,F324,3DC6
976A,0763,4124,0D56
976B,0762,6125,8B56
976C,0765,7725,8B2A
976D,0764,6825,50BA
976E,0767,5225,0D2A
976F,0766,4824,C056
9770,0779,3355,FDCA
9771,0778,9B24,B05A
9772,077B,7455,61CA
9773,077A,3C55,46CA
9774,077D,2024,A15A
9775,077C,9524,77CA
9776,077F,5E55,E65A
9777,077E,F924,52CA
9778,0771,2A24,9BCA
9779,0770,FD24,33CA
977A,0773,4624,035A
977B,0772,6155,875A
977C,0775,7755,DB5A
977D,0774,6855,20CA
977E,0777,5255,1D5A
977F,0776,4F24,C25A
9780,0789,372D,3BBC
9781,0788,F774,0B81
9782,078B,3475,3BE0
9783,078A,342D,3B07
9784,078D,F78B,0B10
9785,078C,F474,3BF6
9786,078F,348F,0B47
9787,078E,F428,3BA3
9788,0781,F48B,3BDA
9789,0780,F728,3BC2
978A,0783,F74E,0B52
978B,0782,3749,0B36
978C,0785,3775,0B7A
978D,0784,3449,3B61
978E,0787,378F,0B2C
978F,0786,F44E,0B93
9790,0799,3EB9,0A2E
9791,0798,4464,3064
9792,079B,A466,A559
9793,079A,0EB0,A52E
9794,079D,FE64,6BC9
9795,079C,E46A,A595
9796,079F,0E66,6BBE
9797,079E,1EB7,0A95
9798,0791,1E6A,A584
9799,0790,FEBE,0A59
979A,0793,44BE,30C9
979B,0792,64B9,6BA5
979C,0795,6465,6B64
979D,0794,A4B0,0A84
979E,0797,3E65,30BE
979F,0796,E4B7,30A5
97A0,07A9,34CD,1558
97A1,07A8,F5D4,FBAB
97A2,07AB,04F6,041E
97A3,07AA,04C2,151E
97A4,07AD,F56B,37EE
97A5,07AC,15DA,0434
97A6,07AF,04A3,FBEE
97A7,07AE,15BC,049B
97A8,07A1,1561,1534
97A9,07A0,F5B8,0458
97AA,07A3,F50E,37C8
97AB,07A2,34E9,37F4
97AC,07A5,34F5,FBF4
97AD,07A4,04E0,159B
97AE,07A7,34AF,FBC8
97AF,07A6,1507,37AB
97B0,07B9,38BF,0F2B
97B1,07B8,2404,5BBB
97B2,07BB,C406,0F15
97B3,07BA,08B3,0F44
97B4,07BD,24BB,36E5
97B5,07BC,B40A,C515
97B6,07BF,C4B3,3604
97B7,07BE,18B1,C55F
97B8,07B1,B4B1,C544
97B9,07B0,F8BB,0F5F
97BA,07B3,F804,36CF
97BB,07B2,3805,5BE5
97BC,07B5,5405,5B04
97BD,07B4,0806,C52B
